"IndividualId","Quantity Path","Parameter","Value","Unit"
7,Organism|Brain|Interstitial|Theophylline|Concentration in container,C_tEnd,2.55138659477234,µmol/l
8,Organism|Brain|Interstitial|Theophylline|Concentration in container,C_tEnd,0.240996897220612,µmol/l
9,Organism|Brain|Interstitial|Theophylline|Concentration in container,C_tEnd,0.192867293953896,µmol/l
0,Organism|Brain|Interstitial|Theophylline|Concentration in container,AUC,7600.244140625,µmol*min/l
1,Organism|Brain|Interstitial|Theophylline|Concentration in container,AUC,9571.001953125,µmol*min/l
2,Organism|Brain|Interstitial|Theophylline|Concentration in container,AUC,2482.3974609375,µmol*min/l
3,Organism|Brain|Interstitial|Theophylline|Concentration in container,AUC,6130.037109375,µmol*min/l
4,Organism|Brain|Interstitial|Theophylline|Concentration in container,AUC,13344.6767578125,µmol*min/l
5,Organism|Brain|Interstitial|Theophylline|Concentration in container,AUC,21015.701171875,µmol*min/l
6,Organism|Brain|Interstitial|Theophylline|Concentration in container,AUC,8661.685546875,µmol*min/l
7,Organism|Brain|Interstitial|Theophylline|Concentration in container,AUC,8762.0673828125,µmol*min/l
8,Organism|Brain|Interstitial|Theophylline|Concentration in container,AUC,6560.7236328125,µmol*min/l
9,Organism|Brain|Interstitial|Theophylline|Concentration in container,AUC,5504.39697265625,µmol*min/l
0,Organism|Brain|Interstitial|Theophylline|Concentration in container,AUC_norm,1094961425781.25,µg*min/l
1,Organism|Brain|Interstitial|Theophylline|Concentration in container,AUC_norm,1164008911132.81,µg*min/l
2,Organism|Brain|Interstitial|Theophylline|Concentration in container,AUC_norm,352048522949.219,µg*min/l
3,Organism|Brain|Interstitial|Theophylline|Concentration in container,AUC_norm,828251831054.688,µg*min/l
4,Organism|Brain|Interstitial|Theophylline|Concentration in container,AUC_norm,538684082031.25,µg*min/l
5,Organism|Brain|Interstitial|Theophylline|Concentration in container,AUC_norm,777265197753.906,µg*min/l
6,Organism|Brain|Interstitial|Theophylline|Concentration in container,AUC_norm,1181255249023.44,µg*min/l
7,Organism|Brain|Interstitial|Theophylline|Concentration in container,AUC_norm,1192841918945.31,µg*min/l
8,Organism|Brain|Interstitial|Theophylline|Concentration in container,AUC_norm,487892517089.844,µg*min/l
9,Organism|Brain|Interstitial|Theophylline|Concentration in container,AUC_norm,443390136718.75,µg*min/l
0,Organism|Brain|Interstitial|Theophylline|Concentration in container,AUC_inf,9861.275390625,µmol*min/l
1,Organism|Brain|Interstitial|Theophylline|Concentration in container,AUC_inf,12817.759765625,µmol*min/l
2,Organism|Brain|Interstitial|Theophylline|Concentration in container,AUC_inf,2488.00830078125,µmol*min/l
3,Organism|Brain|Interstitial|Theophylline|Concentration in container,AUC_inf,6876.259765625,µmol*min/l
4,Organism|Brain|Interstitial|Theophylline|Concentration in container,AUC_inf,13747.5712890625,µmol*min/l
5,Organism|Brain|Interstitial|Theophylline|Concentration in container,AUC_inf,23480.306640625,µmol*min/l
6,Organism|Brain|Interstitial|Theophylline|Concentration in container,AUC_inf,11054.111328125,µmol*min/l
7,Organism|Brain|Interstitial|Theophylline|Concentration in container,AUC_inf,11168.52734375,µmol*min/l
8,Organism|Brain|Interstitial|Theophylline|Concentration in container,AUC_inf,6639.4599609375,µmol*min/l
9,Organism|Brain|Interstitial|Theophylline|Concentration in container,AUC_inf,5566.6123046875,µmol*min/l
0,Organism|Brain|Interstitial|Theophylline|Concentration in container,AUC_inf_norm,1420706420898.44,µg*min/l
1,Organism|Brain|Interstitial|Theophylline|Concentration in container,AUC_inf_norm,1558874145507.81,µg*min/l
2,Organism|Brain|Interstitial|Theophylline|Concentration in container,AUC_inf_norm,352844238281.25,µg*min/l
3,Organism|Brain|Interstitial|Theophylline|Concentration in container,AUC_inf_norm,929076660156.25,µg*min/l
4,Organism|Brain|Interstitial|Theophylline|Concentration in container,AUC_inf_norm,554947692871.094,µg*min/l
5,Organism|Brain|Interstitial|Theophylline|Concentration in container,AUC_inf_norm,868418640136.719,µg*min/l
6,Organism|Brain|Interstitial|Theophylline|Concentration in container,AUC_inf_norm,1507527343750,µg*min/l
7,Organism|Brain|Interstitial|Theophylline|Concentration in container,AUC_inf_norm,1520450073242.19,µg*min/l
8,Organism|Brain|Interstitial|Theophylline|Concentration in container,AUC_inf_norm,493747741699.219,µg*min/l
9,Organism|Brain|Interstitial|Theophylline|Concentration in container,AUC_inf_norm,448401733398.438,µg*min/l
0,Organism|Brain|Interstitial|Theophylline|Concentration in container,MRT,16.2032806396484,h
1,Organism|Brain|Interstitial|Theophylline|Concentration in container,MRT,17.3950012207031,h
2,Organism|Brain|Interstitial|Theophylline|Concentration in container,MRT,3.74362920125326,h
3,Organism|Brain|Interstitial|Theophylline|Concentration in container,MRT,10.6686482747396,h
4,Organism|Brain|Interstitial|Theophylline|Concentration in container,MRT,6.62303619384766,h
5,Organism|Brain|Interstitial|Theophylline|Concentration in container,MRT,10.5037831624349,h
6,Organism|Brain|Interstitial|Theophylline|Concentration in container,MRT,15.5963979085286,h
7,Organism|Brain|Interstitial|Theophylline|Concentration in container,MRT,15.5484466552734,h
8,Organism|Brain|Interstitial|Theophylline|Concentration in container,MRT,5.25663401285807,h
9,Organism|Brain|Interstitial|Theophylline|Concentration in container,MRT,5.1807362874349,h
0,Organism|Brain|Interstitial|Theophylline|Concentration in container,Thalf,11.3672668457031,h
1,Organism|Brain|Interstitial|Theophylline|Concentration in container,Thalf,12.1884389241536,h
2,Organism|Brain|Interstitial|Theophylline|Concentration in container,Thalf,2.75024592081706,h
3,Organism|Brain|Interstitial|Theophylline|Concentration in container,Thalf,7.54386138916016,h
4,Organism|Brain|Interstitial|Theophylline|Concentration in container,Thalf,4.75834299723307,h
5,Organism|Brain|Interstitial|Theophylline|Concentration in container,Thalf,7.44985707600911,h
6,Organism|Brain|Interstitial|Theophylline|Concentration in container,Thalf,10.9236572265625,h
7,Organism|Brain|Interstitial|Theophylline|Concentration in container,Thalf,10.896235148112,h
8,Organism|Brain|Interstitial|Theophylline|Concentration in container,Thalf,3.77429377237956,h
9,Organism|Brain|Interstitial|Theophylline|Concentration in container,Thalf,3.72662099202474,h
0,Organism|Brain|Interstitial|Theophylline|Concentration in container,FractionAucLastToInf,0.229283824563026,
1,Organism|Brain|Interstitial|Theophylline|Concentration in container,FractionAucLastToInf,0.253301531076431,
2,Organism|Brain|Interstitial|Theophylline|Concentration in container,FractionAucLastToInf,0.00225516152568161,
3,Organism|Brain|Interstitial|Theophylline|Concentration in container,FractionAucLastToInf,0.108521543443203,
4,Organism|Brain|Interstitial|Theophylline|Concentration in container,FractionAucLastToInf,0.0293065831065178,
5,Organism|Brain|Interstitial|Theophylline|Concentration in container,FractionAucLastToInf,0.104964815080166,
6,Organism|Brain|Interstitial|Theophylline|Concentration in container,FractionAucLastToInf,0.216428592801094,
7,Organism|Brain|Interstitial|Theophylline|Concentration in container,FractionAucLastToInf,0.215467929840088,
8,Organism|Brain|Interstitial|Theophylline|Concentration in container,FractionAucLastToInf,0.0118587845936418,
9,Organism|Brain|Interstitial|Theophylline|Concentration in container,FractionAucLastToInf,0.0111765721812844,
0,Organism|Brain|Interstitial|Theophylline|Concentration in container,CL,0.703875150065869,ml/min/kg
1,Organism|Brain|Interstitial|Theophylline|Concentration in container,CL,0.641488586552441,ml/min/kg
2,Organism|Brain|Interstitial|Theophylline|Concentration in container,CL,2.8341116849333,ml/min/kg
3,Organism|Brain|Interstitial|Theophylline|Concentration in container,CL,1.07633741572499,ml/min/kg
4,Organism|Brain|Interstitial|Theophylline|Concentration in container,CL,1.80197169538587,ml/min/kg
5,Organism|Brain|Interstitial|Theophylline|Concentration in container,CL,1.15151843056083,ml/min/kg
6,Organism|Brain|Interstitial|Theophylline|Concentration in container,CL,0.663337879814208,ml/min/kg
7,Organism|Brain|Interstitial|Theophylline|Concentration in container,CL,0.657700002193451,ml/min/kg
8,Organism|Brain|Interstitial|Theophylline|Concentration in container,CL,2.02532578259707,ml/min/kg
9,Organism|Brain|Interstitial|Theophylline|Concentration in container,CL,2.23014294169843,ml/min/kg
0,Organism|Brain|Interstitial|Theophylline|Concentration in container,Vss,684.305191040039,ml/kg
1,Organism|Brain|Interstitial|Theophylline|Concentration in container,Vss,669.521749019623,ml/kg
2,Organism|Brain|Interstitial|Theophylline|Concentration in container,Vss,636.591792106628,ml/kg
3,Organism|Brain|Interstitial|Theophylline|Concentration in container,Vss,688.983976840973,ml/kg
4,Organism|Brain|Interstitial|Theophylline|Concentration in container,Vss,716.071426868439,ml/kg
5,Organism|Brain|Interstitial|Theophylline|Concentration in container,Vss,725.717961788177,ml/kg
6,Organism|Brain|Interstitial|Theophylline|Concentration in container,Vss,620.74089050293,ml/kg
7,Organism|Brain|Interstitial|Theophylline|Concentration in container,Vss,613.572776317596,ml/kg
8,Organism|Brain|Interstitial|Theophylline|Concentration in container,Vss,638.783752918243,ml/kg
9,Organism|Brain|Interstitial|Theophylline|Concentration in container,Vss,693.226933479309,ml/kg
0,Organism|Brain|Interstitial|Theophylline|Concentration in container,Vd,692.592024803162,ml/kg
1,Organism|Brain|Interstitial|Theophylline|Concentration in container,Vd,676.803827285767,ml/kg
2,Organism|Brain|Interstitial|Theophylline|Concentration in container,Vd,674.705564975739,ml/kg
3,Organism|Brain|Interstitial|Theophylline|Concentration in container,Vd,702.858567237854,ml/kg
4,Organism|Brain|Interstitial|Theophylline|Concentration in container,Vd,742.214620113373,ml/kg
5,Organism|Brain|Interstitial|Theophylline|Concentration in container,Vd,742.582321166992,ml/kg
6,Organism|Brain|Interstitial|Theophylline|Concentration in container,Vd,627.232670783997,ml/kg
7,Organism|Brain|Interstitial|Theophylline|Concentration in container,Vd,620.340406894684,ml/kg
8,Organism|Brain|Interstitial|Theophylline|Concentration in container,Vd,661.692678928375,ml/kg
9,Organism|Brain|Interstitial|Theophylline|Concentration in container,Vd,719.405472278595,ml/kg
