"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Midazolam|Whole Blood (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa"
0,1068,0.0005976887,0.0003918649,0.0004391489,0
0,1074,0.000582788,0.00038209,0.0004277348,0
0,1080,0.0005682623,0.0003725613,0.0004166219,0
0,1086,0.0005541127,0.0003632794,0.0004058119,0
0,1092,0.0005403279,0.0003542371,0.0003952951,0
0,1098,0.0005268937,0.0003454248,0.0003850592,0
0,1104,0.0005138005,0.0003368365,0.000375096,0
0,1110,0.000501039,0.0003284659,0.0003653977,0
0,1116,0.0004886001,0.0003203069,0.0003559563,0
0,1122,0.0004764744,0.0003123536,0.0003467641,0
0,1128,0.0004646529,0.0003045999,0.0003378134,0
0,1134,0.0004531266,0.0002970399,0.0003290964,0
0,1140,0.0004418865,0.0002896677,0.0003206054,0
0,1146,0.0004309367,0.0002824862,0.0003123454,0
0,1152,0.0004202682,0.0002754892,0.0003043084,0
0,1158,0.0004098686,0.0002686687,0.0002964837,0
0,1164,0.0003997309,0.0002620201,0.0002888652,0
0,1170,0.0003898479,0.0002555386,0.0002814471,0
0,1176,0.0003802129,0.0002492199,0.0002742236,0
0,1182,0.0003708189,0.0002430593,0.000267189,0
0,1188,0.0003616592,0.0002370525,0.0002603376,0
0,1194,0.0003527275,0.0002311952,0.000253664,0
0,1200,0.0003440169,0.0002254831,0.0002471627,0
0,1206,0.000335528,0.0002199164,0.000240835,0
0,1212,0.0003272543,0.0002144909,0.0002346754,0
0,1218,0.0003191878,0.0002092014,0.000228677,0
0,1224,0.0003113231,0.0002040443,0.0002228353,0
0,1230,0.0003036551,0.0001990163,0.0002171462,0
0,1236,0.0002961788,0.0001941139,0.0002116055,0
0,1242,0.0002888892,0.0001893341,0.0002062091,0
0,1248,0.0002817814,0.0001846737,0.0002009531,0
0,1254,0.0002748509,0.0001801295,0.0001958337,0
0,1260,0.000268093,0.0001756985,0.0001908471,0
0,1266,0.0002615045,0.0001713787,0.0001859912,0
0,1272,0.000255081,0.0001671671,0.0001812623,0
0,1278,0.0002488179,0.0001630607,0.0001766564,0
0,1284,0.0002427111,0.0001590569,0.0001721704,0
0,1290,0.0002367567,0.0001551531,0.0001678011,0
0,1296,0.0002309508,0.0001513466,0.0001635454,0
0,1302,0.0002252896,0.0001476351,0.0001594001,0
0,1308,0.0002197694,0.0001440162,0.0001553625,0
0,1314,0.0002143867,0.0001404873,0.0001514296,0
0,1320,0.0002091378,0.0001370463,0.0001475985,0
0,1326,0.0002040202,0.0001336913,0.0001438672,0
0,1332,0.0001990304,0.0001304202,0.0001402331,0
0,1338,0.0001941648,0.0001272306,0.0001366932,0
0,1344,0.0001894203,0.0001241204,0.000133245,0
0,1350,0.0001847937,0.0001210875,0.000129886,0
0,1356,0.000180282,0.00011813,0.0001266138,0
0,1362,0.0001758821,0.0001152458,0.0001234259,0
0,1368,0.0001715911,0.000112433,0.00012032,0
0,1374,0.000167406,0.0001096897,0.0001172938,0
0,1380,0.0001633239,0.0001070139,0.0001143449,0
0,1386,0.0001593441,0.0001044052,0.000111473,0
0,1392,0.0001554637,0.0001018618,0.0001086758,0
0,1398,0.0001516794,9.938134E-05,0.0001059507,0
0,1404,0.0001479888,9.696228E-05,0.0001032955,0
0,1410,0.0001443893,9.4603E-05,0.0001007085,0
0,1416,0.0001408785,9.230194E-05,9.818771E-05,0
0,1422,0.0001374542,9.005755E-05,9.573127E-05,0
0,1428,0.000134114,8.786831E-05,9.333735E-05,0
0,1434,0.0001308556,8.573272E-05,9.100417E-05,0
0,1440,0.0001276768,8.364931E-05,8.872994E-05,0
